"PRODUCT_SKU";"CAT_1";"CAT_2";"PICTURE_URL";"BRAND";"SHIPPED_ITEM";"SHIPPED_ITEM_BEF_REJECTION";"GRS_REVENUE_BEF_REJECTION";"GRS_REVENUE_BEF_CANCELLATION";"AVAIL_BY_SIZE";"PAGE_VIEWS";"VISITORS";"IMPRESSIONS";"CLICS";"STOCK";"AVAILABILITY";"CURRENT_SELLOUT_ITEMS";"BLACKPRICE";"DISCOUTPRICE";"GROSSTURNOVEER";"RANK"
"LA002AWBOK43";"FOOTWEAR";"ANKLE BOOTS";"/L/A/LA002AWBOK43_1.jpg";"Lamania";115;173;278024,9880406769493550939881885422887791;548245,3426110970723441740362238340269394;"36:0 | 37:0 | 38:0 | 39:0 | 40:2 | Grand total:2";9499;7831;833755;7136;2;0,2;0,8159392789373814041745730550284629981025;2790;1670;42,43396226415094339622641509433962264148;20
"LA002AWBOE64";"FOOTWEAR";"ANKLE BOOTS";"/L/A/LA002AWBOE64_1.jpg";"Lamania";131;172;211421,1675236616585499777033959176709384;546381,8160196776604958184236415953474981;"40:1 | 38:15 | 36:18 | 39:25 | 37:37 | Grand total:96";4536;3242;797223;2810;96;1;0,474842767295597484276729559748427672956;2690;1340;14,37942122186495176848874598070739549833;21
"DO005AWDGK12";"FOOTWEAR";"ANKLE BOOTS";"/D/O/DO005AWDGK12_1.jpg";"Dorothy Perkins";68;144;166007,8302798454400188508534951851523801;519211,0479956461056133095838991823456801;"7:0 | 8:0 | 5:7 | 6:11 | 4:12 | 3:14 | Grand total:44";4989;3830;695931;2569;44;0,666666667;0,3831168831168831168831168831168831168831;3190;1750;21,39428571428571428571428571428571428577;22
"EL242AWCRI36";"FOOTWEAR";"ANKLE BOOTS";"/E/L/EL242AWCRI36_1.jpg";"Elche";6;8;12778,6450000423412220696909973313255726;518466,6969762226233572449731807886309605;"36:0 | 37:0 | 38:0 | 39:0 | 40:0 | Grand total:0";1233;921;78476;748;0;0;0,92;2290;1710;41,6;23
"GI634AWIZ107";"FOOTWEAR";"ANKLE BOOTS";"/G/I/GI634AWIZ107_1.jpg";"Gianmarco Lorenzi";1;1;19790;503860;"36:0 | 37:0 | 38:0 | 40:0 | 39:1 | Grand total:1";40;29;1909;17;1;0,2;0,3333333333333333333333333333333333333333;35990;19790;26;24
"DO005AWDIW17";"FOOTWEAR";"ANKLE BOOTS";"/D/O/DO005AWDIW17_1.jpg";"Dorothy Perkins";62;111;214775,6197596071999910064755816411732825;473381,4116063165683879726250844865449253;"7:0 | 8:0 | 3:4 | 5:5 | 4:6 | 6:15 | Grand total:30";3203;2596;634191;2054;30;0,666666667;0,4084507042253521126760563380281690140845;3690;2210;20,46808510638297872340425531914893617021;25
"VA468AWDTS54";"FOOTWEAR";"ANKLE BOOTS";"/V/A/VA468AWDTS54_1_v1.jpg";"Vagabond";25;57;359681,9299999899375514401474091337271692;458594,5852179848538927720732097273058571;"37:0 | 40:0 | 39:2 | 38:5 | Grand total:7";1976;1498;332638;1254;7;0,5;0,6216216216216216216216216216216216216216;6890;6890;34,46511627906976744186046511627906976746;26
"LA002AWBOE63";"FOOTWEAR";"ANKLE BOOTS";"/L/A/LA002AWBOE63_1.jpg";"Lamania";118;154;184977,7976885328007595730793839491194475;454767,178819559478394818644134985028967;"36:0 | 37:0 | 40:0 | 38:1 | 39:9 | Grand total:10";3781;2848;506423;2357;10;0,4;0,7834549878345498783454987834549878345499;2490;1240;30,10526315789473684210526315789473684216;27
"AL028AWCWG86";"FOOTWEAR";"ANKLE BOOTS";"/A/L/AL028AWCWG86_1.jpg";"Aldo";21;38;196726;430760;"36:0 | 39:1 | 41:1 | 40:2 | 37:3 | 38:5 | Grand total:12";872;667;116085;522;12;0,833333333;0,3714285714285714285714285714285714285714;9790;6850;21,95555555555555555555555555555555555557;28
"DO005AWDIW19";"FOOTWEAR";"ANKLE BOOTS";"/D/O/DO005AWDIW19_1.jpg";"Dorothy Perkins";54;100;186658,6483128198484185319269629999307586;419190,3422062227775449342482454986677237;"3:0 | 4:0 | 5:0 | 6:0 | 8:0 | 7:1 | Grand total:1";3547;2852;463512;2223;1;0,166666667;0,5686274509803921568627450980392156862745;3790;2270;54,16666666666666666666666666666666666671;29
